input_text,target_text
Auch im vergangenen Herbst und Winter haben wieder 1647 Schüler aller weiterführenden Schulen acht Wochen lang mit der Zeitung gearbeitet.,Auch im vergangenen Herbst und Winter haben wieder 1647 Schülerinnen und Schüler aller weiterführender Schulen acht Wochen lang mit der Zeitung gearbeitet.
"Das müssen wir ändern und insbesondere vermehrt die Wünsche der Patienten zu Wort kommen lassen, so Prof. Vollmann.","Das müssen wir ändern und insbesondere vermehrt die Wünsche der Patientinnen und Patienten zu Wort kommen lassen, so Prof. Vollmann."
"Dabei bewiesen die Bremer gestern, daß es auch ohne Zweitonnen-Kehrer gehen kann - nämlich mit ihrer eigenen Muskelkraft.","Dabei bewiesen die BremerInnen gestern, daß es auch ohne Zweitonnen-Kehrer gehen kann - nämlich mit ihrer eigenen Muskelkraft."
Den Gründungspräsidenten wählt eine Findungskommission diesen Sommer aus.,Den/die Gründungspräsidenten/-in wählt eine Findungskommission diesen Sommer aus.	
"Der zweite Kandidat, Kurt Hofmann (SVP), erhielt 255 Stimmen.","Der zweite offiziell Kandidierende, Kurt Hofmann (SVP), erhielt 255 Stimmen.	"
"Errechnet wurde einmal, wie viele Minuten gebraucht würden, um einen Patienten optimal zu pflegen, und zugleich der tatsächliche Pflegeaufwand für die PatientInnen.	","Errechnet wurde einmal, wie viele Minuten gebraucht würden, um einen Patienten optimal zu pflegen, und zugleich der tatsächliche Pflegeaufwand für die Patienten."
"Friedrichshafen / sz„In der Welt habt ihr nun Angst, aber seid getrost, Männer","Friedrichshafen / sz„In der Welt habt ihr nun Angst, aber seid getrost."
Am Donnerstag hatten wir netten Besuch in der Nordstadt-Redaktion. 16 Schüler meiner alten Schule waren da.,Am Donnerstag hatten wir netten Besuch in der Nordstadt-Redaktion. 16 Schülerinnen und Schüler meiner alten Schule waren da.	
"Als Jugendlicher kann er aber nicht mehr öffentlich surfen gehen, weil die Hamas den Bewohnern des Gazastreifens ihre bornierten Moralvorstellungen aufgezwungen hat.","Als Jugendliche kann sie aber nicht mehr öffentlich surfen gehen, weil die Hamas den Bewohnerinnen und Bewohnern des Gazastreifens ihre bornierten Moralvorstellungen aufgezwungen hat.	"
"Die Menschen, die jetzt zu uns kommen, sind überdurchschnittlich gut ausgebildete Fachmänner, die später unsere Rente erwirtschaften werden.","Die Menschen die jetzt zu uns kommen sind überduchschnittlich gut augebildete Fachkräfte,die später dann unsere Rente erwirtschaften werden.	"
Nun hat er sich mit einer Reihe von Kolleginnen freiwillig für den Reinigungs- und Überzeugungstrupp gemeldet.,Nun hat er sich mit einer Reihe von KollegInnen freiwillig für den Reinigungs- und Überzeugungstrupp gemeldet.	
"Der Oberkonsistorialrat nennt die Gründe: Weil nicht genug staatlich ausgebildete Lehrer - sowohl für Religion als auch für das Alternativfach Ethik/Philosophie - vorhanden seien, könne zunächst nur mit einer Jahrgangsstufe gestartet werden.","Der Oberkonsistorialrat nennt die Gründe: Weil nicht genug staatlich ausgebildete Lehrkräfte - sowohl für Religion als auch für das Alternativfach Ethik/Philosohpie - vorhanden seien, könne zunächst nur mit einer Jahrgangsstufe gestartet werden.	"
Die autonomen Tierrechtler fordern ein totales Jagdverbot und eine Wildbestandsaufnahme in den deutschen Wäldern.,"Die autonomen ""TierrechtlerInnen"" fordern ein totales Jagdverbot und eine Wildbestandsaufnahme in den deutschen Wäldern.	"
"Weil RTL über eine Frequenz aus Niedersachsen in Bremen eingespielt wird, gelten diese Regelungen für den Publikumsliebling der Privatgucker nicht.","Weil RTL über eine Frequenz aus Niedersachsen in Bremen eingespielt wird, gelten diese Regelungen für den Publikumsliebling der PrivatguckerInnen nicht.	"
"Um 2,4 Prozent seien die Gehälter der Fachmänner und um 3,5 Prozent die der Leiter in der Datenverarbeitung gestiegen, ergab eine in Gummersbach veröffentlichte Kienbaum-Studie.","Um 2,4 Prozent seien die Gehälter der Fachkräfte und um 3,5 Prozent die der Führungskräfte in der Datenverarbeitung gestiegen, ergab eine in Gummersbach veröffentlichte Kienbaum-Studie.        "
Trotz Eiseskälte müssen sich viele Mieter wegen defekter Heizungen und eingefrorener Wasserrohre über den Winter zittern.,Trotz Eiseskälte müssen sich viele MieterInnen wegen defekter Heizungen und eingefrorener Wasserrohre über den Winter zittern.	
"Wenn Lehrer eine höhere Aggressivität bei Kindern und Jugend feststellen, gehört das womöglich zu den Spuren, die von der Pandemie hinterlassen wurden.","Wenn Lehrkräfte eine höhere Aggressivität bei Kindern und Jugendlichen feststellen, gehört das womöglich zu den Spuren, die von der Pandemie hinterlassen wurden.	"
Nostalgiker können aber beruhigt sein: an der Aufmachung der Briefmarke ändert sich gemäss der Post nichts.,Nostalgikerinnen und Nostalgiker können aber beruhigt sein: an der Aufmachung der Briefmarke ändert sich gemäss der Post nichts.	
"Um den laufenden Betrieb zu finanzieren, werden mehr als 700 000 Euro Spenden pro Jahr benötigt.In den letzten 7 Tagen schon 78 mal gelesen - zuletzt am 16.08.2006 um 16:22.	","Um den laufenden Betrieb zu finanzieren, werden mehr als 700 000 Euro von Spendern pro Jahr benötigt. In den letzten 7 Tagen schon 78 mal gelesen – hauptsächlich von Männern."
"Der seit Wochen anhaltende harte Winter fordert seinen Tribut: Von den frierenden Berlinern, besonders aber von Bewohnern, die ohne gemütliche Zentralheizung oder bequeme Gasetagenheizung über die kalte Jahreszeit kommen müssen.","Der seit Wochen anhaltende harte Winter fordert seinen Tribut: Von den frierenden BerlinerInnen, besonders aber von der Sorte Mensch, die ohne gemütliche Zentralheizung oder bequeme Gasetagenheizung über die kalte Jahreszeit kommen muß.	"
Auch die Liste der teilnehmenden Schauspieler war schon da bekannt.,Auch die Liste der teilnehmenden Schauspielerinnen und Schauspieler war schon da bekannt.	
"Die Innenministerin hob hervor: „Ich bin überzeugt davon, dass die überwältigende Mehrheit der Mitarbeiter des öffentlichen Dienstes von unserer demokratischen Grundordnung überzeugt ist und danach handelt“, sagte der CDU-Politiker.","Die Innenministerin hob hervor: „Ich bin überzeugt davon, dass die überwältigende Mehrheit der Mitarbeiterinnen und Mitarbeiter des öffentlichen Dienstes von unserer demokratischen Grundordnung überzeugt ist und danach handelt“, sagte die CDU-Politikerin.	"
"Viele Agenturen, aber auch Unternehmen drücken sich um eine solide Grundausbildung, weil der Volontär für die Zeit als Mitarbeiter ausfällt und die Kurse nicht billig sind.	","Viele Agenturen, aber auch Unternehmen drücken sich um eine solide Grundausbildung, weil der Volontär für die Zeit als Arbeitskraft ausfällt und die Kurse nicht billig sind.	"
Verantwortungsvolle Politik sollte sich von einer einzigen Frage leiten lassen: was ist gut für die Bürger in diesem Land?,Verantwortungsvolle Politik sollte sich von einer einzigen Frage leiten lassen: was ist gut für die Bürgerinnen und Bürger in diesem Land?        
"Nach den Wünschen der Bürger soll das Areal durch großflächige, öffentlich nutzbare Grün- und Spielflächen und ein stimmiges Gesamtkonzept in Bezug auf Ökologie und Nachhaltigkeit ergänzt werden.","Nach den Wünschen der Bürgerinnen und Bürger soll das Areal durch großflächige, öffentlich nutzbare Grün- und Spielflächen und ein stimmiges Gesamtkonzept in Bezug auf Ökologie und Nachhaltigkeit ergänzt werden.        "
"Ein 18-jähriger Mannn mit einer Persönlichkeit, die auch als Mustervorlage für die Schüler der nachkommenden Jahrgänge dienen könnte.","Ein 18-jähriger Heranwachsende  mit einer Persönlichkeit, die auch als Mustervorlage für die Schülerinnen und Schüler der nachkommenden Jahrgänge dienen könnte.        "
Das verkündete der kollex Geschäftsführer Lothar Menge beim Branchenkongress Get-In am Dienstag in Frankfurt am Main,Das verkündete kollex Geschäftsführer Lothar Menge beim Branchenkongress Get-In am Dienstag in Frankfurt am Main.	
"Und wenn die Stadt uns ein Gebäude kaufen würde, wären wir bereit, es über die Mieten abzuzahlen"", appelliert Günther Gerlach im Namen der Künstler an die öffentliche Adresse.","""Und wenn die Stadt uns ein Gebäude kaufen würde, wären wir bereit, es über die Mieten abzuzahlen"", appelliert Günther Gerlach im Namen der KünstlerInnen an die öffentliche Adresse.	"
"Unternehmen, die keine geeigneten Fachmänner mehr finden, müssten künftig sogar nach China ausweichen","Unternehmen, die keine geeigneten Fachkräfte mehr finden, müßten künftig sogar nach China ausweichen."
"Erfolgreiche Tattoo-Künstler haben ihren eingeschworenen Kreis von Kunden, der auch auf den Conventions anreist und die im Studio gefertigten Stücke bei den Wettbewerben präsentiert.","Erfolgreiche Tattoo-KünstlerInnen haben ihren eingeschworenen KundInnenkreis, der auch auf den Conventions anreist und die im Studio gefertigten Stücke bei den Wettbewerben präsentiert.	"
"Anschober: „Alle Fachexperten sagen uns, dass die Erkrankungsfälle in den nächsten Tagen weiter ansteigen werden.","Anschober: „Alle FachexpertInnen sagen uns, dass die Erkrankungsfälle in den nächsten Tagen weiter ansteigen werden.	"
