text,label
Auch im vergangenen Herbst und Winter haben wieder 1647 Schülerinnen und Schüler aller weiterführender Schulen acht Wochen lang mit der Zeitung gearbeitet.	,0
Auch im vergangenen Herbst und Winter haben wieder 1647 Schüler aller weiterführenden Schulen acht Wochen lang mit der Zeitung gearbeitet.,1
"Das müssen wir ändern und insbesondere vermehrt die Wünsche der Patientinnen und Patienten zu Wort kommen lassen, so Prof. Vollmann.",0
"Das müssen wir ändern und insbesondere vermehrt die Wünsche der Patienten zu Wort kommen lassen, so Prof. Vollmann.",1
"Dabei bewiesen die BremerInnen gestern, daß es auch ohne Zweitonnen-Kehrer gehen kann - nämlich mit ihrer eigenen Muskelkraft.",0
"Dabei bewiesen die Bremer gestern, daß es auch ohne Zweitonnen-Kehrer gehen kann - nämlich mit ihrer eigenen Muskelkraft.",1
Den/die Gründungspräsidenten/-in wählt eine Findungskommission diesen Sommer aus.	,0
Den Gründungspräsidenten wählt eine Findungskommission diesen Sommer aus.,1
"Der zweite offiziell Kandidierende, Kurt Hofmann (SVP), erhielt 255 Stimmen.	",0
"Der zweite Kandidat, Kurt Hofmann (SVP), erhielt 255 Stimmen.",1
"Errechnet wurde einmal, wie viele Minuten gebraucht würden, um einen Patienten optimal zu pflegen, und zugleich der tatsächliche Pflegeaufwand für die PatientInnen.	",0
"Errechnet wurde einmal, wie viele Minuten gebraucht würden, um einen Patienten optimal zu pflegen, und zugleich der tatsächliche Pflegeaufwand für die Patienten.",1
"Friedrichshafen / sz„In der Welt habt ihr nun Angst, aber seid getrost.",0
"Friedrichshafen / sz„In der Welt habt ihr nun Angst, aber seid getrost, Männer",1
Am Donnerstag hatten wir netten Besuch in der Nordstadt-Redaktion. 16 Schülerinnen und Schüler meiner alten Schule waren da.	,0
Am Donnerstag hatten wir netten Besuch in der Nordstadt-Redaktion. 16 Schüler meiner alten Schule waren da.,1
"Als Jugendliche kann sie aber nicht mehr öffentlich surfen gehen, weil die Hamas den Bewohnerinnen und Bewohnern des Gazastreifens ihre bornierten Moralvorstellungen aufgezwungen hat.	",0
"Als Jugendlicher kann er aber nicht mehr öffentlich surfen gehen, weil die Hamas den Bewohnern des Gazastreifens ihre bornierten Moralvorstellungen aufgezwungen hat.",1
"Die Menschen die jetzt zu uns kommen sind überduchschnittlich gut augebildete Fachkräfte,die später dann unsere Rente erwirtschaften werden.	",0
"Die Menschen, die jetzt zu uns kommen, sind überdurchschnittlich gut ausgebildete Fachmänner, die später unsere Rente erwirtschaften werden.",1
Nun hat er sich mit einer Reihe von KollegInnen freiwillig für den Reinigungs- und Überzeugungstrupp gemeldet.	,0
Nun hat er sich mit einer Reihe von Kolleginnen freiwillig für den Reinigungs- und Überzeugungstrupp gemeldet.,1
"Der Oberkonsistorialrat nennt die Gründe: Weil nicht genug staatlich ausgebildete Lehrkräfte - sowohl für Religion als auch für das Alternativfach Ethik/Philosohpie - vorhanden seien, könne zunächst nur mit einer Jahrgangsstufe gestartet werden.	",0
"Der Oberkonsistorialrat nennt die Gründe: Weil nicht genug staatlich ausgebildete Lehrer - sowohl für Religion als auch für das Alternativfach Ethik/Philosophie - vorhanden seien, könne zunächst nur mit einer Jahrgangsstufe gestartet werden.",1
"Die autonomen ""TierrechtlerInnen"" fordern ein totales Jagdverbot und eine Wildbestandsaufnahme in den deutschen Wäldern.	",0
Die autonomen Tierrechtler fordern ein totales Jagdverbot und eine Wildbestandsaufnahme in den deutschen Wäldern.,1
"Weil RTL über eine Frequenz aus Niedersachsen in Bremen eingespielt wird, gelten diese Regelungen für den Publikumsliebling der PrivatguckerInnen nicht.	",0
"Weil RTL über eine Frequenz aus Niedersachsen in Bremen eingespielt wird, gelten diese Regelungen für den Publikumsliebling der Privatgucker nicht.",1
"Um 2,4 Prozent seien die Gehälter der Fachkräfte und um 3,5 Prozent die der Führungskräfte in der Datenverarbeitung gestiegen, ergab eine in Gummersbach veröffentlichte Kienbaum-Studie.        ",0
"Um 2,4 Prozent seien die Gehälter der Fachmänner und um 3,5 Prozent die der Leiter in der Datenverarbeitung gestiegen, ergab eine in Gummersbach veröffentlichte Kienbaum-Studie.",1
Trotz Eiseskälte müssen sich viele MieterInnen wegen defekter Heizungen und eingefrorener Wasserrohre über den Winter zittern.	,0
Trotz Eiseskälte müssen sich viele Mieter wegen defekter Heizungen und eingefrorener Wasserrohre über den Winter zittern.,1
"Wenn Lehrkräfte eine höhere Aggressivität bei Kindern und Jugendlichen feststellen, gehört das womöglich zu den Spuren, die von der Pandemie hinterlassen wurden.	",0
"Wenn Lehrer eine höhere Aggressivität bei Kindern und Jugend feststellen, gehört das womöglich zu den Spuren, die von der Pandemie hinterlassen wurden.",1
Nostalgikerinnen und Nostalgiker können aber beruhigt sein: an der Aufmachung der Briefmarke ändert sich gemäss der Post nichts.	,0
Nostalgiker können aber beruhigt sein: an der Aufmachung der Briefmarke ändert sich gemäss der Post nichts.,1
"Um den laufenden Betrieb zu finanzieren, werden mehr als 700 000 Euro Spenden pro Jahr benötigt.In den letzten 7 Tagen schon 78 mal gelesen - zuletzt am 16.08.2006 um 16:22.	",0
"Um den laufenden Betrieb zu finanzieren, werden mehr als 700 000 Euro von Spendern pro Jahr benötigt. In den letzten 7 Tagen schon 78 mal gelesen – hauptsächlich von Männern.",1
"Der seit Wochen anhaltende harte Winter fordert seinen Tribut: Von den frierenden BerlinerInnen, besonders aber von der Sorte Mensch, die ohne gemütliche Zentralheizung oder bequeme Gasetagenheizung über die kalte Jahreszeit kommen muß.	",0
"Der seit Wochen anhaltende harte Winter fordert seinen Tribut: Von den frierenden Berlinern, besonders aber von Bewohnern, die ohne gemütliche Zentralheizung oder bequeme Gasetagenheizung über die kalte Jahreszeit kommen müssen.",1
Auch die Liste der teilnehmenden Schauspielerinnen und Schauspieler war schon da bekannt.	,0
Auch die Liste der teilnehmenden Schauspieler war schon da bekannt.,1
"Die Innenministerin hob hervor: „Ich bin überzeugt davon, dass die überwältigende Mehrheit der Mitarbeiterinnen und Mitarbeiter des öffentlichen Dienstes von unserer demokratischen Grundordnung überzeugt ist und danach handelt“, sagte die CDU-Politikerin.	",0
"Die Innenministerin hob hervor: „Ich bin überzeugt davon, dass die überwältigende Mehrheit der Mitarbeiter des öffentlichen Dienstes von unserer demokratischen Grundordnung überzeugt ist und danach handelt“, sagte der CDU-Politiker.",1
"Viele Agenturen, aber auch Unternehmen drücken sich um eine solide Grundausbildung, weil der Volontär für die Zeit als Arbeitskraft ausfällt und die Kurse nicht billig sind.	",0
"Viele Agenturen, aber auch Unternehmen drücken sich um eine solide Grundausbildung, weil der Volontär für die Zeit als Mitarbeiter ausfällt und die Kurse nicht billig sind.	",1
Verantwortungsvolle Politik sollte sich von einer einzigen Frage leiten lassen: was ist gut für die Bürgerinnen und Bürger in diesem Land?        ,0
Verantwortungsvolle Politik sollte sich von einer einzigen Frage leiten lassen: was ist gut für die Bürger in diesem Land?,1
"Nach den Wünschen der Bürgerinnen und Bürger soll das Areal durch großflächige, öffentlich nutzbare Grün- und Spielflächen und ein stimmiges Gesamtkonzept in Bezug auf Ökologie und Nachhaltigkeit ergänzt werden.	",0
"Nach den Wünschen der Bürger soll das Areal durch großflächige, öffentlich nutzbare Grün- und Spielflächen und ein stimmiges Gesamtkonzept in Bezug auf Ökologie und Nachhaltigkeit ergänzt werden.",1
"Ein 18-jähriger Heranwachsende  mit einer Persönlichkeit, die auch als Mustervorlage für die Schülerinnen und Schüler der nachkommenden Jahrgänge dienen könnte.        ",0
"Ein 18-jähriger Mannn mit einer Persönlichkeit, die auch als Mustervorlage für die Schüler der nachkommenden Jahrgänge dienen könnte.",1
Das verkündete kollex Geschäftsführer Lothar Menge beim Branchenkongress Get-In am Dienstag in Frankfurt am Main.	,0
Das verkündete der kollex Geschäftsführer Lothar Menge beim Branchenkongress Get-In am Dienstag in Frankfurt am Main,1
"""Und wenn die Stadt uns ein Gebäude kaufen würde, wären wir bereit, es über die Mieten abzuzahlen"", appelliert Günther Gerlach im Namen der KünstlerInnen an die öffentliche Adresse.	",0
"Und wenn die Stadt uns ein Gebäude kaufen würde, wären wir bereit, es über die Mieten abzuzahlen"", appelliert Günther Gerlach im Namen der Künstler an die öffentliche Adresse.",1
"Unternehmen, die keine geeigneten Fachkräfte mehr finden, müßten künftig sogar nach China ausweichen.",0
"Unternehmen, die keine geeigneten Fachmänner mehr finden, müssten künftig sogar nach China ausweichen",1
"Erfolgreiche Tattoo-KünstlerInnen haben ihren eingeschworenen KundInnenkreis, der auch auf den Conventions anreist und die im Studio gefertigten Stücke bei den Wettbewerben präsentiert.	",0
"Erfolgreiche Tattoo-Künstler haben ihren eingeschworenen Kreis von Kunden, der auch auf den Conventions anreist und die im Studio gefertigten Stücke bei den Wettbewerben präsentiert.",1
"Anschober: „Alle FachexpertInnen sagen uns, dass die Erkrankungsfälle in den nächsten Tagen weiter ansteigen werden.	",0
"Anschober: „Alle Fachexperten sagen uns, dass die Erkrankungsfälle in den nächsten Tagen weiter ansteigen werden.",1
Dort werden pro Jahr insgesamt 1.300 Schülerinnen und Schüler in fünf- und zehnwöchigen Lehrgängen unterrichtet.	,0
Dort werden pro Jahr insgesamt 1.300 Schüler in fünf- und zehnwöchigen Lehrgängen unterrichtet.,1
"Alleine in den vergangenen zwei Jahren nahmen 350.000 SchülerInnen, 350 Schulen und mehr als 1500 Vereine an der spark7 SLAM Tour teil.	",0
"Alleine in den vergangenen zwei Jahren nahmen 350.000 Schüler, 350 Schulen und mehr als 1500 Vereine an der spark7 SLAM Tour teil.",1
Die Mitarbeiterinnen und Mitarbeiter des Kreises Stormarn werden über die neuen Bestimmungen informiert.	,0
Die Mitarbeiter des Kreises Stormarn werden über die neuen Bestimmungen informiert.,1
"Rund 2000, vor allem an den Hochschulen arbeitende Psychologinnen und Psychologen werden teilnehmen, alleine 1300 referieren über den Stand ihrer Tätigkeit.	",0
"Rund 2000, vor allem an den Hochschulen arbeitende Psychologen werden teilnehmen, alleine 1300 referieren über den Stand ihrer Tätigkeit.",1
"Am Samstagmorgen wollen Aktivist:innen und Bürger:innen eine Kundgebung am Tatort veranstalten, zudem sind Demonstrationen in São Paulo, Recife, Belo Horizonte und Porto Alegre geplant.	",0
"Am Samstagmorgen wollen Aktivisten und Bürger eine Kundgebung am Tatort veranstalten, zudem sind Demonstrationen in São Paulo, Recife, Belo Horizonte und Porto Alegre geplant.",1
Der Schweizer Wissenschaftspreis Marcel Benoist gilt unter Forscherinnen und Forschern als «Schweizer Nobelpreis» und ist mit 250'000 Franken dotiert.	,0
Der Schweizer Wissenschaftspreis Marcel Benoist gilt unter Forschern als «Schweizer Nobelpreis» und ist mit 250'000 Franken dotiert.,1
"Bundesminister Rudolf Anschober: „Grundsätzlich geht es um mehr Sicherheit und Transparenz für Konsumentinnen und Konsumenten beim Verzehr von Eiern und Produkten, die Eier als Zutat enthalten.	",0
"Bundesminister Rudolf Anschober: „Grundsätzlich geht es um mehr Sicherheit und Transparenz für Konsumenten beim Verzehr von Eiern und Produkten, die Eier als Zutat enthalten.",1
"Über 200 Aktionärinnen und Aktionäre sowie zahlreiche Gäste fanden sich am Freitagabend bei prächtigstem Maiwetter auf Schloss Lenzburg zur Generalversammlung der AZ Medien AG ein, Herausgeberin unter anderem dieser Zeitung.	",0
"Über 200 Aktionäre sowie zahlreiche Gäste fanden sich am Freitagabend bei prächtigstem Maiwetter auf Schloss Lenzburg zur Generalversammlung der AZ Medien AG ein, Herausgeberin unter anderem dieser Zeitung.",1
"Als Vertreter:innen des Justizministeriums werden u.a. Barbara Göth-Flemmich, Sektionschefin für Einzelstrafsachen, und Christian Manquet, aktuell mit der Leitung der Sektion für Straflegistik betraut, vortragen.	",0
"Als Vertreter des Justizministeriums werden u.a. Barbara Göth-Flemmich und Christian Manquet, aktuell mit der Leitung der Sektion für Straflegistik betraut, vortragen",1
Die Akten zu den Fällen werden im Amtshaus an der Hodlerstrasse in Bern für die Laienrichter und Laienrichterinnen zur Einsicht aufgelegt.	,0
Die Akten zu den Fällen werden im Amtshaus an der Hodlerstrasse in Bern für die Laienrichter zur Einsicht aufgelegt.,1
Alle Mitarbeiterinnen und Mitarbeiter sind nach dem Bundesdatenschutzgesetz (BDSG) zur Verschwiegenheit verpflichtet und die Sicherheitsvorkehrungen werden dem aktuellen Stand der Technik zeitnah angepasst.	,0
Alle Mitarbeiter sind nach dem Bundesdatenschutzgesetz (BDSG) zur Verschwiegenheit verpflichtet und die Sicherheitsvorkehrungen werden dem aktuellen Stand der Technik zeitnah angepasst.,1
"Für die User*innen von queer.de hat der Konkursbuch Verlag freundlicherweise fünf Bücher ""Mein lesbisches Auge 20"" zur Verfügung gestellt.	",0
"Für die User von queer.de hat der Konkursbuch Verlag freundlicherweise fünf Bücher """"Mein Auge 20"""" zur Verfügung gestellt.",1
"Damit mehr Pflegekräfte für die freien Stellen zur Verfügung ständen, müsse jedoch eine Ausbildungsinitiative begonnen werden.	",0
"Damit mehr Pfleger für die freien Stellen zur Verfügung stünden, müsse jedoch eine Ausbildungsinitiative begonnen werden",1
"Die NATO Response Force (NRF) ist ein multinationaler, schnell verlegbarer Einsatzverband der NATO, der bis zu 40.000 Soldatinnen und Soldaten umfasst.        ",0
"Die NATO Response Force (NRF) ist ein multinationaler, schnell verlegbarer Einsatzverband der NATO, der bis zu 40.000 Soldaten umfasst.",1
"Die Ergebnisse der Studie haben nicht nur Auswirkungen auf das Verständnis der Krankheit, sondern auch auf die Verbesserung der Kommunikation mit den Patientinnen und Patienten, so die Forschenden.	",0
"Die Ergebnisse der Studie haben nicht nur Auswirkungen auf das Verständnis der Krankheit, sondern auch auf die Verbesserung der Kommunikation mit den Patienten, so die Forscher.",1
"Das kritische Hinterfragen der Männerrolle scheint Ihnen, liebe Leserinnen und Leser, ein Anliegen zu sein.	",0
"Das kritische Hinterfragen der Männerrolle scheint Ihnen, liebe Leser, ein Anliegen zu sein.",1
Das Problem: Die hauptamtlichen Rettungskräfte fühlen sich von ihren ehrenamtlichen Kollegen gemobbt.        ,0
Das Problem: Die hauptamtlichen Retter fühlen sich von ihren ehrenamtlichen Kollegen gemobbt.,1
Neben Christoph Hänsli sind zwölf weitere malende Zürcher Kunstschaffende in die Räumlichkeiten des Helmhauses geladen worden.	,0
Neben Christoph Hänsli sind zwölf weitere malende Zürcher Künstler in die Räumlichkeiten des Helmhauses geladen worden.,1
"Im Land gibt es rund 2500 Autorinnen und Autoren, die rund 1500 Bücher pro Jahr veröffentlichen.	",0
"Im Land gibt es rund 2500 Autoren, die rund 1500 Bücher pro Jahr veröffentlichen.",1
Aktuell sind für die WIFIs 12.000 Trainer/innen im Einsatz. 2008 lag der Umsatz bei rund 130 Millionen Euro.	,0
Aktuell sind für die WIFIs 12.000 Trainer im Einsatz. 2008 lag der Umsatz bei rund 130 Millionen Euro.,1
So sollen neu auch Rekrutinnen und Rekruten eingesetzt werden können.	,0
So sollen neu auch Rekruten eingesetzt werden können.,1
"Und natürlich sollten die BesucherInnen die Chance nicht versäumen, neben der Topkunst auch den Fallturm und das Forschungszentrum zu besichtigen.	",0
"Und natürlich sollten die Besucher die Chance nicht versäumen, neben der Topkunst auch den Fallturm und das Forschungszentrum zu besichtigen.",1
Ein besonderer Schwerpunkt des Wettbewerbs liegt auf der Förderung der Ausbildungsreife der Schülerinnen und Schüler.	,0
Ein besonderer Schwerpunkt des Wettbewerbs liegt auf der Förderung der Ausbildungsreife der Schüler.,1
Einen Tag zuvor gab es fast 450 ausländische Fachkräfte und 80 Einheiten Technik mehr.	,0
Einen Tag zuvor gab es fast 450 ausländische Fachkmänner und 80 Einheiten Technik mehr.,1
"Wie die Partei bei einem solchen Trend ""stärkste politische Kraft"" - wie es im Wahlprogramm optimistisch heißt - werden will, kann keiner der Genossen sagen.In dieser Lage könnte die PDS am Wahlabend der lachende Dritte sein.	",0
"Wie die Partei bei einem solchen Trend """"stärkste politische Kraft"""" werden will, kann keiner der Genossen sagen. In dieser Lage könnte die PDS am Wahlabend der lachende Dritte sein.",1
"Alles läuft super, sagte sie anschließend in Kiel über die Gründung ihrer Partei, für die es bald bundesweit Landesverbände geben soll.",0
"Alles läuft super, sagte er anschließend in Kiel über die Gründung seiner Partei, für die es bald bundesweit Landesverbände geben soll.",0
"Er soll jedoch trotzdem noch bei Bewusstsein gewesen sein, als die Rettungskräfte kamen.	",0
"Er soll jedoch trotzdem noch bei Bewusstsein gewesen sein, als die Retter kamen.        ",1
"Bei über 120 000 Bevölkerung ist das keine leichte Aufgabe.In der Altstadt, dort wo nach der Überlieferung Maria und Josef mit dem Jesuskind lebten, wird noch immer nach Spuren Jahrtausende alter Vergangenheit gesucht.        ",0
"Bei über 120 000 Einwohner ist das keine leichte Aufgabe.In der Altstadt, dort wo nach der Überlieferung Maria und Josef mit dem Jesuskind lebten, wird noch immer nach Spuren Jahrtausende alter Vergangenheit gesucht.	",1
"In der Tat: Daß VertreterInnen von sechs eigentlich recht unterschiedlichen Parteien auf dem Podium des Schauspielhauses beisammenhockten, ließ sich an deren Statements kaum erkennen.	",0
"In der Tat: Daß Vertreter von sechs eigentlich recht unterschiedlichen Parteien auf dem Podium des Schauspielhauses beisammenhockten, ließ sich an deren Statements kaum erkennen.",1
